Length	Amplitude	
357.143	0.517648
357.456	0.474476
357.769	0.450967
358.083	0.462535
358.396	0.42955
358.709	0.367208
359.023	0.350099
359.336	0.335607
359.649	0.286072
359.962	0.253779
360.276	0.209573
360.589	0.140151
360.902	0.107943
361.216	0.0723309
361.529	0.000706316
361.842	-0.0737136
362.155	-0.13037
362.469	-0.237169
362.782	-0.336495
363.095	-0.463258
363.409	-0.536473
363.722	-0.663701
364.035	-0.755407
364.348	-0.820558
364.662	-0.88533
364.975	-0.955235
365.288	-1.00232
365.601	-1.07208
365.915	-1.06712
366.228	-1.06058
366.541	-1.10135
366.855	-1.01566
367.168	-0.937405
367.481	-0.809419
367.795	-0.720434
368.108	-0.640177
368.421	-0.562751
368.734	-0.473706
369.048	-0.415857
369.361	-0.346489
369.674	-0.104669
369.988	0.254587
370.301	0.447074
370.614	0.522201
370.927	0.533165
371.241	0.527239
371.554	0.538389
371.867	0.591711
372.18	0.634078
372.494	0.634684
372.807	0.672821
373.12	0.621412
373.434	0.531769
373.747	0.41369
374.06	0.253219
374.373	0.130754
374.687	0.0810807
375	0.0455988
375.313	0.0467565
375.627	0.0121442
375.94	-0.0536375
376.253	-0.107151
376.566	-0.156462
376.88	-0.176216
377.193	-0.213245
377.506	-0.267771
377.82	-0.291552
378.133	-0.313944
378.446	-0.321735
378.759	-0.327776
379.073	-0.316337
379.386	-0.274194
379.699	-0.299173
380.012	-0.302497
380.326	-0.262416
380.639	-0.254141
380.952	-0.241101
381.266	-0.21689
381.579	-0.196589
381.892	-0.179242
382.205	-0.15381
382.519	-0.135413
382.832	-0.116728
383.145	-0.0924712
383.459	-0.0732793
383.772	-0.049387
384.085	0.000685581
384.399	0.0287389
384.712	0.0814137
385.025	0.111924
385.338	0.124046
385.652	0.157048
385.965	0.175786
386.278	0.217425
386.591	0.246538
386.905	0.257361
387.218	0.273706
387.531	0.262444
387.845	0.262734
388.158	0.31614
388.471	0.28961
388.784	0.30412
389.098	0.285466
389.411	0.287408
389.724	0.272465
390.038	0.246824
390.351	0.243121
390.664	0.250755
390.977	0.199019
391.291	0.169054
391.604	0.115576
391.917	0.0727471
392.231	0.0596131
392.544	0.0120465
392.857	-0.0160905
